Name,Author,Description,Inspired by,Music style,Created on,Demo,# votes,Rating,Amp style,Tap,PowerLevel,Edit2,Edit3,Volume,Treble,Middle,Bass,Effect2,Master,Gain,Edit1,Effect1,Red-Green,Edit2Hold,TapOnOff,AmpPower,Original order
comfortably number,dansrockin,played on a tele with a neck humbucker,"Pink Floyd, David Gilmour - comfortably numb",Blues Rock ,07/03/2011,,3,5,4,3,46,34,28,55,46,70,61,10,39,40,81,11,3,1,0,20,271
Metal solo + delay,luisimlauer,"Metal tone for solos + delay, i use a strat and i love how it sounds",-,Metal Solo ,30/03/2011,,2,5,8,4,19,62,81,41,74,49,70,10,75,34,22,1,3,1,1,80,269
Metallica – One,antonds08,The clean sound in Metallica's one from ...And justice for all.,"Metallica, One",Clean ,05/01/2013,,1,5,1,10,28,29,47,36,74,29,85,2,33,46,25,1,2,1,0,20,15
"Gary Moore ""Still got the Blues""",spirit57,"My favourite setting for Gary Moore Sound in AC30. This sound is inspired by the great and unforgettable Gary Moore. A wonderful silky lead tone. The gary moore's sustain sound... . Les Paul Standard Neck Pickup Tone 6-7, Volume 5-6.Inspired by: Gary Moore , Still got the Blues",-,Blues High Sustain ,28/06/2012,,1,5,6,3,18,0,50,48,17,24,98,11,47,50,0,1,1,1,0,40,68
rory gallagher,seelwinterwolf,the tone for rory's live,-,Rock ,01/06/2012,,1,5,3,5,64,11,20,69,74,54,43,9,5,27,100,8,2,1,0,20,80
Robben Ford Drive,atom,Dumble Drive Tone,-,Blues ,20/05/2012,,1,5,11,10,37,0,43,71,0,34,37,1,15,57,0,1,1,1,0,40,90
My Acoustic Tone,irondave666,GUITAR ( ESP LTD M-100FM ) Volume 10 Tone 1-2 Pickup Switch-middle,"Judas Priest, Dreamer Deceiver/Sad Wings Of Destiny",Acoustic ,23/04/2012,,1,5,1,57,27,0,18,100,90,47,100,1,37,16,0,1,2,1,0,20,102
best green day tone,bazman666,This the base of billies sound.. I'm using a start copy same as his with Seymour duncan pickups ....change to amp between box AC30.. us high gain and BTq metal to get all the different sounds billie has... enjoy,"Green day, all tracks",Punk Rock ,26/03/2012,,1,5,9,10,33,0,0,37,98,28,65,1,35,74,0,1,1,1,0,20,117
acthung tone,thffkwka,Until the end of the world,"U2, acthung baby",crunch ,23/01/2012,,1,5,6,1,0,56,44,78,81,63,32,10,0,84,53,7,2,18,0,20,169
Nothing else Matters,marviglass,limpio metallica,"Metallica, 08-black",heavy ,10/01/2012,,1,5,1,685,20,0,0,97,82,68,42,11,50,50,46,2,2,1,0,40,172
bridges burning - foo fighters,mattjb14,the louder the better ;),"Foo fighters, wasting light",Rock ,18/11/2011,,1,5,6,10,68,0,15,80,65,25,56,1,26,61,100,7,2,1,0,20,200
Dos tierras - Heroes del silencio,strada,"I just find it, if you have any modification please let us know","Heroes del silencio, Entre dos tierras",Rock en espaol ,01/10/2011,,1,5,2,9,82,41,17,37,49,61,44,11,92,62,0,1,2,50,0,40,212
late 80's Guitar Hero,vintagevacuumtube,Think in shred!!!,-,Solo Guitar Hero ,24/01/2011,,1,5,9,3,18,35,0,94,84,65,76,10,50,95,50,1,3,0,0,20,282
Nashville,vox_tom_usa,"Tap the TAP tempo button like you would double-click a mouse to get the speed really fast. While holding the TAP button, adjust the depth knob until there is only one repeated echo.",-,Country ,11/01/2011,,1,5,1,1,44,42,41,40,84,88,40,9,95,37,9,1,1,1,0,40,317
Blues/Rock,voxrocks55,"USE MANUAL SETTINGS. I find this to be a fantastic setting for any blues/rock style of riffing on my Fender with woodstock+ pickups, but I do use a custom phase90 pedal in front of the amp for Hendrix Machine Gun to get the psychedelic swirling effect. Love this amp.","JHendrix, Machine Gun",Creamy overdriven ,15/05/2011,,3,4.6,6,10,42,33,55,47,44,43,54,11,45,50,33,1,3,0,0,20,262
Calling Dr Love,andycrane,Calling Dr Love - Kiss tone,-,Rock ,12/01/2011,,3,4.6,6,10,16,0,0,100,75,32,100,1,20,100,0,1,1,1,0,20,295
AC/DC basic tone,jonasvox,"I´m using my Les Paul for this tone, but it might sound much better with a SG. There are different sounds of AC/DC for sure, but this sound give you an basic idea of it. Have fun with this tone and stay tuned.",-,Rock ,15/04/2012,,3,4.5,7,10,22,0,38,53,61,85,23,1,66,62,33,1,3,1,0,40,106
Classic Crunchy Overdrive,schniepel89xx,"just a classic tube overdriven sound with a touch of spring reverb. sounds great for blues rock, classic rock and &#39;70s hard rock. for a lead sound, you can either go from tube od to gold drive in the pedals section or move the gain knob on the amp to about 3 o&#39; clock.",-,Rock 70s Hard Rock ,05/04/2012,,2,4.5,2,3,9,0,60,100,73,93,86,1,100,50,26,7,3,1,0,40,114
Stairway intro,jack1181,First time effort,"Led zep, stairway",Harmonic ,03/02/2012,,2,4.5,2,10,22,26,22,36,34,56,47,10,19,17,20,1,2,1,0,20,164
Another brick in the wall solo,grattmod,"The Gilmour's sound in ""another brick in the wall""","Pink Floyd, Another brick in the wall",Rock ,23/12/2011,,2,4.5,1,10,23,23,44,51,100,100,56,9,50,49,18,7,2,0,0,20,179
80's thrash metal,vegas,A possible solution for the album called Kill em All. Please let me know about your opinion on this one!,"Metallica, Kill em All",Thrash metal ,01/09/2011,,2,4.5,7,10,33,0,77,100,100,13,83,1,14,81,64,6,3,1,0,20,224
Nu Metal,vincentparker,Guitar Volume at half and tone 1/4 sounds great with Meteora album. play along!!,"Linkin Park, Faint",Nu Metal ,23/01/2011,,2,4.5,9,550,33,0,0,49,55,47,31,1,49,100,15,7,2,1,0,20,284
